Sentences,Question,word5,word4,word6,word1,word3,Ans,word2,lenth,Type,ID,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,key_resp_12.keys,key_resp_12.rt,Atests1.keys,Atests1.rt,Atests2.keys,Atests2.rt,Atests3.keys,Atests3.rt,Atests4.keys,Atests4.rt,Atests5.keys,Atests5.rt,Atests6.keys,Atests6.rt,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,expName,participant,version,Grade,Gender,frameRate,session,date,
週六有場精彩的戲劇要公演了,週六沒有戲劇公演?,戲劇,的,要公演了,週六,精彩,j,有場,13,3,54,0,0,0,21,space,0.6509849617,space,0.433754191014,space,0.417217113143,space,0.492613478025,space,0.483391476584,space,0.538905848982,space,0.517574025085,j,1,0.982476499936,SPR,008,B,,female,58.8586058773,001,2016_04_26_1621,
輕視政府的逃亡者認清了事實,政府認清了事實？,認清了,逃亡者,事實,輕視,的,j,政府,13,1,56,0,1,1,15,space,0.550645417738,space,0.450543104562,space,0.36713615468,space,0.453893940074,space,0.433615247195,space,0.51032131548,space,0.67503526884,j,1,1.05403454175,SPR,008,B,,female,58.8586058773,001,2016_04_26_1621,
每個人的相處方式都不一樣,相處方式都一樣的?,都,方式,不一樣,每個人,相處,j,的,12,3,50,0,2,2,17,space,0.453502765849,space,0.53399742164,space,0.511845750254,space,0.467172943216,space,0.449969961293,space,0.417183561367,space,0.58375944088,j,1,1.02375978824,SPR,008,B,,female,58.8586058773,001,2016_04_26_1621,
博物館裡有很多珍貴的收藏品,博物館沒有收藏品?,的,珍貴,收藏品,博物館裡,很多,j,有,13,3,56,0,3,3,23,space,0.404577962086,space,0.394963602244,space,0.533609010512,space,0.549957014249,space,0.417092774216,space,0.500513539519,space,0.768506961795,j,1,1.15620640737,SPR,008,B,,female,58.8586058773,001,2016_04_26_1621,
拉攏貴族的青年當上了執行長,貴族當上了執行長？,當上了,青年,執行長,拉攏,的,j,貴族,13,1,54,0,4,4,13,space,0.483423449448,space,0.451958594742,space,0.366916686602,space,0.467093603133,space,0.434368385861,space,0.56712447077,space,0.539626620055,j,1,2.11774541545,SPR,008,B,,female,58.8586058773,001,2016_04_26_1621,
雇主同情的技工拿到了專利,雇主毆打了技工？,拿到了,技工,專利,雇主,的,j,同情,12,2,18,0,5,5,1,space,0.475362734156,space,0.542255895045,space,0.450804413675,space,0.500344596468,space,0.602943951169,space,0.668799770108,space,0.713114559971,j,1,1.17137062554,SPR,008,B,,female,58.8586058773,001,2016_04_26_1621,
照顧小崔的飛行員擊落了敵機,飛行員打落了敵機？,擊落了,飛行員,敵機,照顧,的,f,小崔,13,1,49,0,6,6,8,space,0.533846241298,space,0.316884674263,space,0.63371645513,space,0.500393937313,space,0.506226025289,space,0.516991408382,space,0.741664357512,f,1,1.94510653281,SPR,008,B,,female,58.8586058773,001,2016_04_26_1621,
驅趕交警的行政人員亂扔垃圾,行政人員亂扔垃圾？,亂扔,行政人員,垃圾,驅趕,的,f,交警,13,1,53,0,7,7,12,space,0.43392392352,space,0.534289519455,space,0.550137009661,space,0.527005231706,space,0.725910417554,space,0.603016580892,space,1.16712218135,f,1,1.45566705271,SPR,008,B,,female,58.8586058773,001,2016_04_26_1621,
音樂可以讓人身心得到放鬆,音樂會讓人放鬆?,得到,身心,放鬆,音樂,讓人,f,可以,12,3,51,0,8,8,18,space,0.529313988562,space,0.583644575388,space,0.483770414277,space,0.517699153468,space,0.333659772368,space,0.533694271493,space,0.616924383772,f,1,1.11918419451,SPR,008,B,,female,58.8586058773,001,2016_04_26_1621,
每週都有寫不完的作業和報告,每週都有作業?,作業和,的,報告,每週,寫不完,f,都有,13,3,53,0,9,9,20,space,0.48372659961,space,0.601052815233,space,0.620268114209,space,0.600427173304,space,0.600490724319,space,0.658497796241,space,0.617601340178,f,1,0.933469198288,SPR,008,B,,female,58.8586058773,001,2016_04_26_1621,
